"School Name","School Code","State","City","Activation Date","Fees: Retail and Corporate Level Users","Fees: Colleague Level Members"
"HARRY M. AYERS STATE TECHNICAL COLLEGE","_001017","AL","GADSDEN","07/22/2008","$6.50","$5.00"
"HARRY S TRUMAN COLLEGE - CITY COLLEGES OF CHICAGO","_001648","IL","CHICAGO","01/16/2007","$6.50","$5.00"
"HARTFORD COLLEGE FOR WOMEN","_001422","CT","WEST HARTFORD","05/14/2008","$6.50","$5.00"
"HARTFORD STATE TECHNICAL COLLEGE","_007635","CT","HARTFORD","09/20/2001","$6.50","$5.00"
"HARTWICK COLLEGE","_002729","NY","ONEONTA","01/19/2006","$6.50","$5.00"
"HARVARD - KENNEDY SCHOOL OF GOVERNMENT","_002155","MA","CAMBRIDGE","11/03/2008","$6.50","$5.00"
"HARVARD COLLEGE","_002155","MA","CAMBRIDGE","11/15/2011","$11.50","$10.00"
"HARVARD GRADUATE SCHOOL OF ARTS AND SCIENCES","_002155","MA","CAMBRIDGE","11/15/2011","$11.50","$10.00"
"HARVARD GRADUATE SCHOOL OF EDUCATION","_002155","MA","CAMBRIDGE","10/03/2011","$6.50","$5.00"
"HARVARD KENNEDY SCHOOL","_002155","MA","CAMBRIDGE","11/03/2008","$6.50","$5.00"
"HARVARD UNIVERSITY","_002155","MA","CAMBRIDGE","11/15/2011","$11.50","$10.00"
"HARVARD UNIVERSITY FACULTY OF ARTS AND SCIENCES","_002155","MA","CAMBRIDGE","11/15/2011","$11.50","$10.00"
"HARVARD UNIVERSITY JOHN F. KENNEDY SCHOOL OF GOVERNMENT","_002155","MA","CAMBRIDGE","11/03/2008","$6.50","$5.00"
"HARVARD-RADCLIFFE COLLEGE","_002155","MA","CAMBRIDGE","11/15/2011","$11.50","$10.00"
"HASTINGS COLLEGE","_002548","NE","HASTINGS","03/14/2007","$6.50","$5.00"
"HAVERFORD COLLEGE","_003274","PA","HAVERFORD","09/28/2011","$6.50","$5.00"
"HAWAII COMMUNITY COLLEGE","_005258","HI","HILO","05/08/2009","$6.50","$5.00"
"HAWKEYE COMMUNITY COLLEGE","_004595","IA","WATERLOO","09/28/2011","$6.50","$5.00"
"HAZARD COMMUNITY AND TECHNICAL COLLEGE","_006962","KY","HAZARD","05/08/2003","$6.50","$5.00"
"HEART OF GEORGIA TECHNICAL COLLEGE","_031555","GA","SANDERSVILLE","06/14/2007","$6.50","$5.00"
"HEIDELBERG COLLEGE","_003048","OH","TIFFIN","07/18/2003","$6.50","$5.00"
"HEIDELBERG UNIVERSITY","_003048","OH","TIFFIN","07/18/2003","$6.50","$5.00"
"HELENA COLLEGE OF TECHNOLOGY","_007570","MT","HELENA","10/18/2011","$6.50","$5.00"
"HELENA COLLEGE OF TECHNOLOGY OF THE UNIVERSITY OF MONTANA","_007570","MT","HELENA","10/18/2011","$6.50","$5.00"
"HELENA VOCATIONAL-TECHNICAL CENTER","_007570","MT","HELENA","10/18/2011","$6.50","$5.00"
"HENDERSON COMMUNITY COLLEGE","_001993","KY","HENDERSON","05/08/2003","$6.50","$5.00"
"HENDRIX COLLEGE","_001099","AR","CONWAY","05/04/2009","$6.50","$5.00"
"HENNEPIN TECHNICAL COLLEGE","_010491","MN","BROOKLYN PARK","05/11/2005","$6.50","$5.00"
"HENRY FORD COMMUNITY COLLEGE","_002270","MI","DEARBORN","11/05/2010","$6.50","$5.00"
"HERBERT H. LEHMAN COLLEGE","_007022","NY","BRONX","10/25/2002","$6.50","$5.00"
"HERITAGE COLLEGE","_003777","WA","TOPPENISH","03/27/2007","$6.50","$5.00"
"HERITAGE UNIVERSITY","_003777","WA","TOPPENISH","03/27/2007","$6.50","$5.00"
"HIBBING COMMUNITY COLLEGE","_002355","MN","HIBBING","02/14/2006","$6.50","$5.00"
"HIBBING COMMUNITY COLLEGE - FORMER","_002355","MN","HIBBING","02/14/2006","$6.50","$5.00"
"HIBBING TECHNICAL COLLEGE","_002355","MN","HIBBING","02/14/2006","$6.50","$5.00"
"HIGHLAND COMMUNITY COLLEGE","_001681","IL","FREEPORT","06/10/2007","$6.50","$5.00"
"HIGHLINE COMMUNITY COLLEGE","_003781","WA","DES MOINES","04/14/2006","$10.00","$8.50"
"HILBERT COLLEGE","_002735","NY","HAMBURG","01/07/2003","$6.50","$5.00"
"HILLSBOROUGH COMMUNITY COLLEGE","_007870","FL","TAMPA","07/12/2007","$8.50","$7.00"
"HILLSBOROUGH JUNIOR COLLEGE","_007870","FL","TAMPA","07/12/2007","$8.50","$7.00"
"HILLYER COLLEGE","_001422","CT","WEST HARTFORD","05/14/2008","$6.50","$5.00"
"HILO COMMUNITY COLLEGE","_001611","HI","HILO","09/25/2009","$6.50","$5.00"
"HINDS COMMUNITY COLLEGE","_002407","MS","RAYMOND","09/13/2007","$8.50","$7.00"
"HINDS JUNIOR COLLEGE","_002407","MS","RAYMOND","09/13/2007","$8.50","$7.00"
"HIRAM COLLEGE","_003049","OH","HIRAM","08/16/2007","$7.50","$6.00"
